r val absval
6.048799999999999732e-01 -1.676798966144035452e+00 6.969394389513249022e-02
6.049599999999999422e-01 -1.704145567406383899e+00 7.083056941350542035e-02
6.050400000000000222e-01 -1.731487122764682640e+00 7.196698520551232658e-02
6.051199999999999912e-01 -1.758823609621895878e+00 7.310319033193712901e-02
6.051999999999999602e-01 -1.786155005363589288e+00 7.423918385284059007e-02
6.052799999999999292e-01 -1.813481287357781691e+00 7.537496482755418059e-02
6.053600000000000092e-01 -1.840802432955017220e+00 7.651053231468304960e-02
6.054399999999999782e-01 -1.868118419488214998e+00 7.764588537209980712e-02
6.055199999999999472e-01 -1.895429224272897395e+00 7.878102305695394714e-02
6.056000000000000272e-01 -1.922734824607075899e+00 7.991594442566719858e-02
6.056799999999999962e-01 -1.950035197771136097e+00 8.105064853392865420e-02
6.057599999999999651e-01 -1.977330321028067495e+00 8.218513443670436014e-02
6.058399999999999341e-01 -2.004620171623309854e+00 8.331940118823097374e-02
6.059200000000000141e-01 -2.031904726784828696e+00 8.445344784201880284e-02
6.059999999999999831e-01 -2.059183963722967192e+00 8.558727345084575500e-02
6.060799999999999521e-01 -2.086457859630669098e+00 8.672087706676651075e-02
6.061600000000000321e-01 -2.113726391683368622e+00 8.785425774110801334e-02
6.062400000000000011e-01 -2.140989537038872736e+00 8.898741452446454203e-02
6.063199999999999701e-01 -2.168247272837593886e+00 9.012034646670742666e-02
6.063999999999999391e-01 -2.195499576202392777e+00 9.125305261697844172e-02
6.064800000000000191e-01 -2.222746424238659646e+00 9.238553202369323425e-02
6.065599999999999881e-01 -2.249987794034157496e+00 9.351778373453482895e-02
6.066399999999999570e-01 -2.277223662659252579e+00 9.464980679646312067e-02
6.067199999999999260e-01 -2.304454007166764740e+00 9.578160025570876812e-02
6.068000000000000060e-01 -2.331678804592035359e+00 9.691316315777592783e-02
6.068799999999999750e-01 -2.358898031952786578e+00 9.804449454743643932e-02
6.069599999999999440e-01 -2.386111666249338015e+00 9.917559346873884574e-02
6.070400000000000240e-01 -2.413319684464503290e+00 1.003064589650040639e-01
6.071199999999999930e-01 -2.440522063563467459e+00 1.014370900788202912e-01
6.071999999999999620e-01 -2.467718780494018826e+00 1.025674858520526783e-01
6.072799999999999310e-01 -2.494909812186398845e+00 1.036976453258370429e-01
6.073600000000000110e-01 -2.522095135553372280e+00 1.048275675405828111e-01
6.074399999999999800e-01 -2.549274727490081105e+00 1.059572515359669398e-01
6.075199999999999489e-01 -2.576448564874270541e+00 1.070866963509433251e-01
6.076000000000000290e-01 -2.603616624566173599e+00 1.082159010237379870e-01
6.076799999999999979e-01 -2.630778883408398272e+00 1.093448645918443790e-01
6.077599999999999669e-01 -2.657935318226156696e+00 1.104735860920329077e-01
6.078399999999999359e-01 -2.685085905827109709e+00 1.116020645603445077e-01
6.079200000000000159e-01 -2.712230623001446350e+00 1.127302990320939169e-01
6.079999999999999849e-01 -2.739369446521731533e+00 1.138582885418633200e-01
6.080799999999999539e-01 -2.766502353202417996e+00 1.149860321259759538e-01
6.081600000000000339e-01 -2.793629319852144910e+00 1.161135288205133870e-01
6.082400000000000029e-01 -2.820750323193871090e+00 1.172407776579960370e-01
6.083199999999999719e-01 -2.847865339935328421e+00 1.183677776703113971e-01
6.083999999999999408e-01 -2.874974346768878863e+00 1.194945278887081380e-01
6.084800000000000209e-01 -2.902077320371578395e+00 1.206210273437987729e-01
6.085599999999999898e-01 -2.929174237405031800e+00 1.217472750655535924e-01
6.086399999999999588e-01 -2.956265074515622260e+00 1.228732700833102404e-01
6.087199999999999278e-01 -2.983349808334353703e+00 1.239990114257670945e-01
6.088000000000000078e-01 -3.010428415476932074e+00 1.251244981209867491e-01
6.088799999999999768e-01 -3.037500872543609454e+00 1.262497291963894652e-01
6.089599999999999458e-01 -3.064567156119415436e+00 1.273747036787627462e-01
